Date,Winner,Won by,Venue
11-Apr-24,MI,7 wickets,Mumbai
9-May-23,MI,6 wickets,Mumbai
2-Apr-23,RCB,8 wickets,Bengaluru
9-Apr-22,RCB,7 wickets,Pune
26-Sep-21,RCB,54 runs,Dubai
9-Apr-21,RCB,2 wickets,Chennai
28-Oct-20,MI,5 wickets,Abu Dhabi
28-Sep-20,RCB,Super Over,Dubai
15-Apr-19,MI,5 wickets,Mumbai
28-Mar-19,MI,6 runs,Bengaluru
1-May-18,RCB,14 runs,Bengaluru
17-Apr-18,MI,46 runs,Mumbai
1-May-17,MI,5 wickets,Mumbai
14-Apr-17,MI,4 wickets,Bengaluru
11-May-16,MI,6 wickets,Bengaluru
20-Apr-16,MI,6 wickets,Mumbai
10-May-15,RCB,39 runs,Mumbai
19-Apr-15,MI,18 runs,Bengaluru
6-May-14,MI,19 runs,Mumbai
19-Apr-14,RCB,7 wickets,Dubai
27-Apr-13,MI,58 runs,Mumbai
4-Apr-13,RCB,2 runs,Bengaluru
14-May-12,MI,5 wickets,Bengaluru
9-May-12,RCB,9 wickets,Mumbai
27-May-11,RCB,43 runs,Chennai
12-Apr-11,MI,9 wickets,Bengaluru
21-Apr-10,MI,35 runs,Mumbai (DY)
17-Apr-10,MI,57 runs,Bengaluru
20-Mar-10,RCB,7 wickets,Mumbai (BS)
10-May-09,MI,16 runs,Port Elizabeth
3-May-09,RCB,9 wickets,Johannesburg
28-May-08,MI,9 wickets,Bengaluru
20-Apr-08,RCB,5 wickets,Mumbai
